Date,Price,sma,diff,threshold,signal,change,pnl
1/1/2020,7199.80,0.00,0.06,0,,,
2/1/2020,6967.00,0.00,0.06,0,-0.032334232,0,
3/1/2020,7343.10,0.00,0.06,0,0.053983063,0,
4/1/2020,7376.80,0.00,0.06,0,0.004589342,0,
5/1/2020,7372.50,0.00,0.06,0,-0.000582909,0,
6/1/2020,7759.10,0.00,0.06,0,0.052438115,0,
7/1/2020,8155.70,0.00,0.06,0,0.051114176,0,
8/1/2020,8059.60,0.00,0.06,0,-0.01178317,0,
9/1/2020,7842.40,0.00,0.06,0,-0.026949228,0,
10/1/2020,8187.10,0.00,0.06,0,0.043953382,0,
11/1/2020,8024.10,0.00,0.06,0,-0.01990937,0,
12/1/2020,8187.60,0.00,0.06,0,0.020376117,0,
01/13/2020,8111.40,0.00,0.06,0,-0.009306757,0,
01/14/2020,8829.20,0.00,0.06,0,0.088492739,0,
01/15/2020,8818.30,0.00,0.06,0,-0.00123454,0,
01/16/2020,8726.90,0.00,0.06,0,-0.01036481,0,
01/17/2020,8913.10,0.00,0.06,0,0.021336328,0,
01/18/2020,8916.30,0.00,0.06,0,0.000359022,0,
01/19/2020,8706.20,0.00,0.06,0,-0.023563586,0,
01/20/2020,8641.90,0.00,0.06,0,-0.007385541,0,
01/21/2020,8732.60,0.00,0.06,0,0.010495377,0,
01/22/2020,8678.50,0.00,0.06,0,-0.006195177,0,
01/23/2020,8405.10,0.00,0.06,0,-0.03150314,0,
01/24/2020,8439.90,0.00,0.06,0,0.004140343,0,
01/25/2020,8341.60,0.00,0.06,0,-0.011647057,0,
01/26/2020,8607.80,0.00,0.06,0,0.031912343,0,
01/27/2020,8866.60,0.00,0.06,0,0.030065754,0,
01/28/2020,9377.30,0.00,0.06,0,0.057598177,0,
01/29/2020,9298.90,0.00,0.06,0,-0.008360616,0,
01/30/2020,9507.30,0.00,0.06,0,0.022411253,0,
01/31/2020,9349.10,0.00,0.06,0,-0.016639845,0,
1/2/2020,9381.60,0.00,0.06,0,0.00347627,0,
2/2/2020,9334.90,0.00,0.06,0,-0.004977829,0,
3/2/2020,9296.60,0.00,0.06,0,-0.004102883,0,
4/2/2020,9193.90,0.00,0.06,0,-0.011047049,0,
5/2/2020,9611.80,0.00,0.06,0,0.045454051,0,
6/2/2020,9772.00,0.00,0.06,0,0.016667013,0,
7/2/2020,9818.60,0.00,0.06,0,0.004768727,0,
8/2/2020,9895.50,0.00,0.06,0,0.007832074,0,
9/2/2020,10151.50,0.00,0.06,0,0.025870345,0,
10/2/2020,9854.10,0.00,0.06,0,-0.029296163,0,
11/2/2020,10229.50,0.00,0.06,0,0.038095818,0,
12/2/2020,10317.70,0.00,0.06,0,0.008622122,0,
02/13/2020,10235.10,0.00,0.06,0,-0.00800566,0,
02/14/2020,10333.00,0.00,0.06,0,0.009565124,0,
02/15/2020,9907.70,0.00,0.06,0,-0.041159392,0,
02/16/2020,9932.30,0.00,0.06,0,0.002482917,0,
02/17/2020,9701.40,0.00,0.06,0,-0.023247385,0,
02/18/2020,10158.40,0.00,0.06,0,0.047106603,0,
02/19/2020,9609.40,0.00,0.06,0,-0.054043944,0,
02/20/2020,9602.40,0.00,0.06,0,-0.000728453,0,
02/21/2020,9684.50,0.00,0.06,0,0.008549946,0,
02/22/2020,9655.70,0.00,0.06,0,-0.002973824,0,
02/23/2020,9942.70,0.00,0.06,0,0.029723376,0,
02/24/2020,9662.70,0.00,0.06,0,-0.028161365,0,
02/25/2020,9317.20,0.00,0.06,0,-0.035756052,0,
02/26/2020,8800.30,0.00,0.06,0,-0.055478041,0,
02/27/2020,8818.60,0.00,0.06,0,0.002079475,0,
02/28/2020,8697.50,8994.2271,-0.03,0.06,0,-0.013732338,0
02/29/2020,8543.70,8986.7183,-0.05,0.06,0,-0.017683242,0
1/3/2020,8540.00,9009.055,-0.05,0.06,0,-0.000433068,0
2/3/2020,8904.80,9041.3517,-0.02,0.06,0,0.042716628,0
3/3/2020,8761.40,9064.99,-0.03,0.06,0,-0.016103674,0
4/3/2020,8757.90,9088.0083,-0.04,0.06,0,-0.00039948,0
5/3/2020,9060.30,9116.1383,-0.01,0.06,0,0.034528825,0
